"Source.Name","Opening_text","stim_ending_t","visbility","soundvolume","modalityBlock.thisRepN","modalityBlock.thisTrialN","modalityBlock.thisN","modalityBlock.thisIndex","TrialsStudy.thisRepN","TrialsStudy.thisTrialN","TrialsStudy.thisN","TrialsStudy.thisIndex","text.started","text.stopped","keyWelcome.keys","keyWelcome.rt","keyWelcome.started","keyWelcome.stopped","imageInstr.started","imageInstr.stopped","key_resp.keys","key_resp.rt","key_resp.started","key_resp.stopped","FixationCross.started","FixationCross.stopped","modalityInstr.started","modalityInstr.stopped","modalityFocusKey.keys","modalityFocusKey.rt","modalityFocusKey.started","modalityFocusKey.stopped","StudyVisualStim.started","StudyVisualStim.stopped","StudyAuditoryStim.started","StudyAuditoryStim.stopped","text_2.started","text_2.stopped","key_resp_3.keys","key_resp_3.rt","key_resp_3.started","key_resp_3.stopped","ReproductionVisual.started","ReproductionVisual.stopped","key_resp_2.keys","key_resp_2.rt","key_resp_2.started","key_resp_2.stopped","ReproductionSound.started","ReproductionSound.stopped","participant","session","date","expName","psychopyVersion","frameRate"
"001_visual_demo1.csv","Now focus on the Image",1.5,0,0,0,0,0,0,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7667035,"None",92.97061079,"None","space",3.286710303,92.97061079,"None",96.34030139,"None",96.34030139,"None",98.78391915,"None","space",1.440407254,98.78391915,"None",100.2729094,"None","space",4.486417401,100.2729094,"None",100.2729094,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2.5,0,1,0,0,0,0,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.2488223,"None",NA,NA,NA,NA,NA,NA,105.8340102,"None",105.8340102,"None",109.2765017,"None","space",5.060858801,109.2765017,"None",114.3534839,"None","space",2.876886178,114.3534839,"None",114.3534839,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2,0,0,0,0,0,0,0,2,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.6604418,"None",NA,NA,NA,NA,NA,NA,118.3156321,"None",118.3156321,"None",121.2564654,"None","space",3.907871021,121.2564654,"None",125.1767613,"None","space",3.468660893,125.1767613,"None",125.1767613,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2.5,1,0,0,0,0,0,0,3,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.266246,"None",NA,NA,NA,NA,NA,NA,129.7205449,"None",129.7205449,"None",133.1690566,"None","space",2.109328603,133.1690566,"None",135.2970452,"None","space",6.952323366,135.2970452,"None",135.2970452,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,1,0,0,0,0,0,0,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.2513807,"None",NA,NA,NA,NA,NA,NA,143.333125,"None",143.333125,"None",145.2719521,"None","space",1.252475844,145.2719521,"None",146.5398431,"None","space",3.693515324,146.5398431,"None",146.5398431,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,1,0,0,0,0,0,0,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.0377197,"None",NA,NA,NA,NA,NA,NA,151.3197444,"None",151.3197444,"None",155.7646667,"None","space",2.227780239,155.7646667,"None",158.0081163,"None","space",6.021261643,158.0081163,"None",158.0081163,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1.5,1,0,0,0,0,0,0,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.5301468,"None",NA,NA,NA,NA,NA,NA,182.0874251,"None",182.0874251,"None",184.5291651,"None","space",2.224429313,184.5291651,"None",186.7730758,"None","space",3.742337146,186.7730758,"None",186.7730758,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,0,0,0,0,0,0,0,8,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.5046955,"None",NA,NA,NA,NA,NA,NA,191.5861706,"None",191.5861706,"None",193.5333711,"None","space",2.039041235,193.5333711,"None",195.5925746,"None","space",3.897880119,195.5925746,"None",195.5925746,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2,0,1,0,0,0,0,0,9,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.1057212,"None",NA,NA,NA,NA,NA,NA,200.5713992,"None",200.5713992,"None",203.515049,"None","space",0.714385513,203.515049,"None",204.2464934,"None","space",4.845903259,204.2464934,"None",204.2464934,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,0,0,0,0,0,0,0,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.1481865,"None",NA,NA,NA,NA,NA,NA,240.2785661,"None",240.2785661,"None",244.7303896,"None","space",4.803091431,244.7303896,"None",249.5518412,"None","space",4.586602773,249.5518412,"None",249.5518412,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,1,0,0,0,0,0,0,13,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.5147538,"None",NA,NA,NA,NA,NA,NA,255.203663,"None",255.203663,"None",259.1577106,"None","space",1.443738302,259.1577106,"None",260.6157669,"None","space",1.890731349,260.6157669,"None",260.6157669,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1.5,0,1,0,0,0,0,0,14,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.8637335,"None",NA,NA,NA,NA,NA,NA,263.5796444,"None",263.5796444,"None",266.0207073,"None","space",1.03381415,266.0207073,"None",267.0671051,"None","space",5.78738581,267.0671051,"None",267.0671051,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,0,1,0,0,0,0,0,15,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.4461595,"None",NA,NA,NA,NA,NA,NA,273.9334095,"None",273.9334095,"None",275.8693973,"None","space",0.057068972,275.8693973,"None",275.9419384,"None","space",3.489545188,275.9419384,"None",275.9419384,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,0,1,0,0,0,0,0,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.9650359,"None",NA,NA,NA,NA,NA,NA,280.5041649,"None",280.5041649,"None",284.9465666,"None","space",0.728887597,284.9465666,"None",285.6931216,"None","space",2.255364142,285.6931216,"None",285.6931216,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,0,1,0,0,0,0,0,17,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.5184747,"None",NA,NA,NA,NA,NA,NA,289.0178456,"None",289.0178456,"None",292.962683,"None","space",0.782828782,292.962683,"None",293.764986,"None","space",2.742692693,293.764986,"None",293.764986,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,1,0,0,0,0,0,1,0,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.0340851,"None",NA,NA,NA,NA,NA,NA,297.5835436,"None",297.5835436,"None",299.5265727,"None","space",3.491929501,299.5265727,"None",303.0359189,"None","space",6.983654458,303.0359189,"None",303.0359189,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2.5,0,0,0,0,0,0,1,1,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.1897531,"None",NA,NA,NA,NA,NA,NA,311.1019028,"None",311.1019028,"None",314.5426772,"None","space",4.35487561,314.5426772,"None",318.9137502,"None","space",4.264776037,318.9137502,"None",318.9137502,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,0,0,0,0,0,0,1,2,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.7518193,"None",NA,NA,NA,NA,NA,NA,324.2587551,"None",324.2587551,"None",326.1947512,"None","space",0.968749058,326.1947512,"None",327.1784737,"None","space",6.557353025,327.1784737,"None",327.1784737,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,0,1,0,0,0,0,1,3,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.0591224,"None",NA,NA,NA,NA,NA,NA,334.8186422,"None",334.8186422,"None",336.7548082,"None","space",3.606753853,336.7548082,"None",340.3759186,"None","space",2.668650441,340.3759186,"None",340.3759186,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2,0,0,0,0,0,0,1,4,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.899067,"None",NA,NA,NA,NA,NA,NA,344.1255773,"None",344.1255773,"None",347.0642363,"None","space",3.586315514,347.0642363,"None",350.6633749,"None","space",4.222291864,350.6633749,"None",350.6633749,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2.5,0,1,0,0,0,0,1,5,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.6375213,"None",NA,NA,NA,NA,NA,NA,355.9672073,"None",355.9672073,"None",359.4103707,"None","space",2.063196947,359.4103707,"None",361.4940682,"None","space",3.132488207,361.4940682,"None",361.4940682,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2,0,1,0,0,0,0,1,6,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.3649085,"None",NA,NA,NA,NA,NA,NA,365.6942415,"None",365.6942415,"None",368.6351444,"None","space",0.031406433,368.6351444,"None",368.6798734,"None","space",3.665673657,368.6798734,"None",368.6798734,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,0,0,0,0,0,0,1,7,25,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.1005711,"None",NA,NA,NA,NA,NA,NA,373.419068,"None",373.419068,"None",377.8726328,"None","space",3.529921087,377.8726328,"None",381.414789,"None","space",4.669783447,381.414789,"None",381.414789,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,1,0,0,0,0,0,1,8,26,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.1919136,"None",NA,NA,NA,NA,NA,NA,387.1640229,"None",387.1640229,"None",391.1076624,"None","space",0.640897581,391.1076624,"None",391.7611244,"None","space",6.419623627,391.7611244,"None",391.7611244,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,0,0,0,0,0,0,1,9,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.1180403,"None",NA,NA,NA,NA,NA,NA,399.2586942,"None",399.2586942,"None",403.1905363,"None","space",0.821058254,403.1905363,"None",404.0249966,"None","space",3.082665147,404.0249966,"None",404.0249966,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,1,0,0,0,0,0,1,10,28,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.4077889,"None",NA,NA,NA,NA,NA,NA,408.1760355,"None",408.1760355,"None",412.618442,"None","space",2.881200511,412.618442,"None",415.516284,"None","space",5.877325402,415.516284,"None",415.516284,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1.5,0,0,0,0,0,0,1,11,29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.6315569,"None",NA,NA,NA,NA,NA,NA,422.4701078,"None",422.4701078,"None",424.9117436,"None","space",2.003861964,424.9117436,"None",426.9282337,"None","space",1.685349286,426.9282337,"None",426.9282337,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,0,1,0,0,0,0,1,12,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.5703374,"None",NA,NA,NA,NA,NA,NA,429.6947801,"None",429.6947801,"None",434.129354,"None","space",0.737266835,434.129354,"None",434.8828952,"None","space",3.667714606,434.8828952,"None",434.8828952,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
